Date,Shanghai Composite,ASX 200,BSE Sensex,Dow Jones,CAC 40,FTSE 100,DAX,S&P 500,Hang Seng,NASDAQ,Nikkei 225
2010-05-24,2673.423095703125,4395.39990234375,16469.55078125,10066.5703125,3430.929931640625,5069.60009765625,5805.68017578125,1073.6500244140625,19667.759765625,2213.550048828125,9758.400390625
2010-05-25,2622.6298828125,4265.2998046875,16022.48046875,10043.75,3331.2900390625,4940.7001953125,5670.0400390625,1074.030029296875,18985.5,2210.949951171875,9459.8896484375
2010-05-26,2625.79296875,4307.2001953125,16387.83984375,9974.4501953125,3408.590087890625,5038.10009765625,5758.02001953125,1067.949951171875,19196.44921875,2195.8798828125,9522.66015625
2010-05-27,2655.91796875,4379.2001953125,16666.400390625,10258.990234375,3525.31005859375,5195.2001953125,5937.14013671875,1103.06005859375,19431.369140625,2277.679931640625,9639.7197265625
2010-05-28,2655.76708984375,4457.5,16863.060546875,10136.6298828125,3515.06005859375,5188.39990234375,5946.18017578125,1089.4100341796875,19766.7109375,2257.0400390625,9762.98046875
2010-05-31,2592.14599609375,4429.7001953125,16944.630859375,,3507.56005859375,,5964.330078125,,19765.189453125,,9768.7001953125
2010-06-01,2568.282958984375,4413.10009765625,16572.029296875,10024.01953125,3503.080078125,5163.2998046875,5981.27001953125,1070.7099609375,19496.94921875,2222.330078125,9711.830078125
2010-06-02,2571.423095703125,4381.0,16741.83984375,10249.5400390625,3501.5,5151.2998046875,5981.2001953125,1098.3800048828125,19471.80078125,2281.070068359375,9603.240234375
2010-06-03,2552.656005859375,4486.0,17022.330078125,10255.2802734375,3557.340087890625,5211.2001953125,6054.6298828125,1102.8299560546875,19786.7109375,2303.030029296875,9914.1904296875
2010-06-04,2553.593017578125,4449.39990234375,17117.689453125,9931.9697265625,3455.610107421875,5126.0,5938.8798828125,1064.8800048828125,19780.0703125,2219.169921875,9901.1904296875
2010-06-07,2511.72900390625,4325.89990234375,16781.0703125,9816.490234375,3413.719970703125,5069.10009765625,5904.9501953125,1050.469970703125,19378.150390625,2173.89990234375,9520.7998046875
2010-06-08,2513.947021484375,4381.2001953125,16617.099609375,9939.98046875,3380.360107421875,5028.2001953125,5868.5498046875,1062.0,19487.48046875,2170.570068359375,9537.9404296875
2010-06-09,2583.8701171875,4385.2998046875,16657.890625,9899.25,3446.77001953125,5085.89990234375,5984.75,1055.68994140625,19621.240234375,2158.85009765625,9439.1298828125
2010-06-10,2562.580078125,4435.2998046875,16922.080078125,10172.5302734375,3516.639892578125,5132.5,6056.58984375,1086.8399658203125,19632.69921875,2218.7099609375,9542.650390625
2010-06-11,2569.94091796875,4505.5,17064.94921875,10211.0703125,3555.52001953125,5163.7001953125,6047.830078125,1091.5999755859375,19872.380859375,2243.60009765625,9705.25
2010-06-14,,,17338.169921875,10190.8896484375,3626.0400390625,5202.10009765625,6125.0,1089.6300048828125,20051.91015625,2243.9599609375,9879.849609375
2010-06-15,,4505.0,17412.830078125,10404.76953125,3661.510009765625,5217.7998046875,6175.0498046875,1115.22998046875,20062.150390625,2305.8798828125,9887.8896484375
2010-06-16,,,17462.869140625,10409.4599609375,3675.929931640625,5237.89990234375,6190.91015625,1114.6099853515625,,2305.929931640625,10067.150390625
2010-06-17,2560.2451171875,4527.2998046875,17616.689453125,10434.169921875,3683.080078125,5253.89990234375,6223.5400390625,1116.0400390625,20138.400390625,2307.159912109375,9999.400390625
2010-06-18,2513.221923828125,4551.89990234375,17570.8203125,10450.6396484375,3687.2099609375,5250.7998046875,6216.97998046875,1117.510009765625,20286.7109375,2309.800048828125,9995.01953125
2010-06-21,2586.208984375,4612.60009765625,17876.55078125,10442.41015625,3736.14990234375,5299.10009765625,6292.97021484375,1113.199951171875,20912.1796875,2289.090087890625,10238.009765625
2010-06-22,2588.697998046875,4558.2998046875,17749.689453125,10293.51953125,3705.320068359375,5247.0,6269.0400390625,1095.31005859375,20819.080078125,2261.800048828125,10112.8896484375
