time,open,high,low,close
1280973600,488.75,489.17001343,485.35998535,486.20999146
1281060000,485.22000122,485.22000122,482.36999512,482.82000732
1281319200,482.6499939,482.6499939,472.51000977,472.73999023
1281405600,468.83999634,469.30999756,458.22000122,461.67001343
1281492000,463.07998657,465.88000488,458.85998535,463.11999512
1281578400,458.02999878,458.58999634,448.25,448.3999939
1281664800,440.72000122,452.73001099,440.72000122,452.73001099
1281924000,458.08999634,464.76000977,456.88000488,464.76000977
1282010400,461.89001465,463.86999512,457.19000244,463.51998901
1282096800,461.76000977,462.11999512,453.23001099,455.48999023
1282183200,454.5,455.94000244,450.07000732,452.23001099
1282269600,452.05999756,454.83999634,444.38000488,454.83999634
1282528800,453.05999756,453.05999756,447.92001343,447.92001343
1282615200,441.73001099,441.73001099,433.6000061,434.42001343
1282701600,427.01000977,428.45999146,421.29998779,423.89001465
1282788000,425.54000854,429.11999512,421.80999756,427.07000732
1282874400,423.1000061,431.23999023,421.73001099,429.14001465
1283133600,439.26998901,445.44000244,439.26998901,444.54998779
1283220000,447.85998535,455.42999268,445.35998535,455.07998657
1283306400,456.48001099,458.75,450.92999268,458.75
1283738400,463.94000244,469.25,463.94000244,466
1283824800,463.3500061,467.3500061,458.92999268,460.58999634
1283911200,454.3999939,458.44000244,453.02999878,458.44000244
1283997600,462.52999878,465.69000244,459.85998535,463.67999268
1284084000,463.48001099,464.27999878,451.39001465,451.39001465
1284343200,448.97000122,452.47000122,442.42999268,447.26998901
1284429600,450.95001221,451.45999146,447.95001221,449.01000977
1284516000,449.07000732,450.48001099,444.73999023,448.72000122
1284602400,445.69000244,450.8500061,445.48999023,449.51998901
1284688800,451.48999023,457.57998657,450.64001465,457.57998657
1284948000,462.01000977,462.82998657,457.86999512,457.86999512
1285034400,457.73001099,457.92001343,453.32000732,453.32000732
1285120800,453.01000977,455.80999756,453.01000977,453.8999939
1285207200,451.41000366,453.70999146,447.16000366,450.76998901
1285293600,449.13000488,452.27999878,448.16000366,449.70999146
1285552800,451.17001343,452.51000977,449.36999512,450.20001221
1285639200,452.07000732,455.13000488,452.07000732,455.13000488
1285725600,457.98999023,458,452.94000244,452.94000244
1285812000,452.70999146,454.51998901,451.27999878,454.51998901
1285898400,454.41000366,455.45999146,451.70999146,451.70999146
1286157600,452.38000488,452.38000488,443.98001099,445.82998657
1286244000,440.91000366,450.95999146,440.63000488,450.95999146
1286330400,452.88000488,460.72000122,452.77999878,460.72000122
1286416800,461.98999023,467.60998535,460.16000366,462.04998779
1286503200,459.29998779,465.04998779,459.26000977,459.26000977
1286762400,457.41000366,461.48001099,456.6000061,459.32000732
1286848800,457.19000244,459.94000244,453.72000122,454.32000732
1286935200,453.23001099,457.70001221,452.19000244,457.70001221
1287021600,459.79000854,460.92001343,457.88000488,458.66000366
1287108000,457.07000732,458.39001465,455.73001099,458.39001465
1287367200,458.44000244,459.3500061,456,457.58999634
1287453600,458.44000244,459.39001465,451.82000732,454.25
1287540000,450.79000854,451.04000854,441.16000366,442.17001343
1287626400,442.08999634,445.25,440.58999634,445.04998779
1287712800,444.83999634,446.39001465,441.5,445.20999146
1287972000,444.67001343,448.60998535,443.11999512,448.60998535
1288058400,450.23001099,458.23001099,450.23001099,455.11999512
1288144800,455.23001099,455.92999268,448.8999939,450.01000977
1288231200,448.61999512,451.51000977,448.27999878,450.07000732
1288317600,450.5,452.79000854,450.29000854,452.63000488
1288576800,451.80999756,451.85998535,449.82998657,451.05999756
1288663200,448.61999512,448.86999512,445.6000061,446.29998779
1288749600,445.32998657,445.76000977,442.33999634,444.16000366
1288836000,444.13000488,448.95001221,443.97000122,448.95001221
1288922400,452.41000366,457.26998901,450.08999634,457.26998901
1289181600,457.5,458.73999023,454.41000366,457.13000488
1289268000,455.57998657,455.6499939,449.3999939,449.3999939
1289354400,447.72000122,451.26000977,447.60998535,451.26000977
1289440800,451.23999023,451.60998535,446.30999756,446.69000244
1289527200,444.77999878,446.85998535,436.5,441.6000061
1289786400,440.60998535,443.07998657,432.72000122,433.54000854
1289872800,431.07998657,431.32998657,425.04998779,426.89001465
1289959200,426.89001465,430.23999023,424.32000732,425.5
1290045600,427.73999023,432.04998779,427.73999023,430.72000122
1290132000,434.39001465,434.42001343,426.51000977,426.51000977
